uid,FTO,language
catalan-07-140-272929,4,Catalan
catalan-07-147-283527,-105,Catalan
catalan-07-170-332199,-651,Catalan
catalan-07-172-333973,-104,Catalan
catalan-07-181-348470,-1003,Catalan
catalan-07-186-357126,-65.00000000005821,Catalan
catalan-07-200-386350,88,Catalan
catalan-07-202-387654,65,Catalan
catalan-07-218-415102,469,Catalan
catalan-07-227-428833,-63,Catalan
catalan-07-236-445310,387,Catalan
catalan-07-252-475974,540.0000000000582,Catalan
catalan-07-255-480552,92,Catalan
catalan-07-260-484264,-1890,Catalan
catalan-07-268-498708,206.9999999999418,Catalan
catalan-07-270-501986,-51,Catalan
catalan-07-297-538903,-27,Catalan
catalan-07-305-557126,-414,Catalan
catalan-07-316-571195,741,Catalan
catalan-07-321-576947,-2006,Catalan
catalan-07-333-596647,-123,Catalan
catalan-08-031-47502,215,Catalan
catalan-08-049-71950,476,Catalan
catalan-08-051-73478,5,Catalan
catalan-08-057-78183,125,Catalan
catalan-08-062-84430,2172,Catalan
catalan-08-103-141238,156,Catalan
catalan-08-117-157524,3858,Catalan
catalan-08-122-163702,1409,Catalan
catalan-08-135-179332,-5,Catalan
catalan-08-143-189484,-350,Catalan
catalan-08-150-202964,90,Catalan
catalan-08-167-230358,92,Catalan
catalan-08-178-243798,-942,Catalan
catalan-08-189-267039,13,Catalan
catalan-08-196-277878,2188,Catalan
catalan-08-252-363767,125,Catalan
catalan-08-258-370118,-396,Catalan
catalan-08-261-373310,405,Catalan
catalan-08-263-376918,1674,Catalan
catalan-08-276-397797,238.0000000000582,Catalan
catalan-08-298-424356,322,Catalan
catalan-08-307-433527,-1595,Catalan
catalan-08-314-439854,-252,Catalan
catalan-08-318-444318,-230,Catalan
catalan-08-328-458212,354,Catalan
catalan-08-332-464438,-1630,Catalan
catalan-08-367-512118,-18.999999999883585,Catalan
catalan-08-370-514502,844.9999999998836,Catalan
catalan-08-379-526222,-742,Catalan
catalan-08-387-538269,43,Catalan
catalan-08-397-550630,198,Catalan
catalan-08-400-556049,-808,Catalan
catalan-08-404-559707,-591,Catalan
catalan-08-416-577934,-286,Catalan
catalan-08-419-582478,-146,Catalan
catalan-08-450-634566,300,Catalan
catalan-08-453-637934,506,Catalan
catalan-08-455-639278,233,Catalan
catalan-08-457-640622,265,Catalan
catalan-08-463-645552,-538,Catalan
catalan-08-470-656318,-2300,Catalan
catalan-08-475-663080,-4,Catalan
catalan-09-004-8323,97,Catalan
catalan-09-026-61934,252,Catalan
catalan-09-028-66571,97,Catalan
catalan-09-038-84781,-1411,Catalan
catalan-09-066-131958,-12,Catalan
catalan-09-073-145374,5061,Catalan
catalan-09-084-162760,-670,Catalan
catalan-09-110-214028,86,Catalan
catalan-09-119-232969,1140,Catalan
catalan-09-124-240630,-436,Catalan
catalan-09-129-250838,211,Catalan
catalan-09-135-263326,92,Catalan
catalan-09-144-279049,47,Catalan
catalan-09-178-338838,84,Catalan
catalan-09-204-377736,118,Catalan
catalan-09-242-425214,124,Catalan
catalan-09-244-428598,-1620,Catalan
catalan-09-254-446774,212,Catalan
catalan-09-261-459270,-204,Catalan
catalan-09-264-461254,76,Catalan
catalan-09-271-467040,2246,Catalan
catalan-09-311-538742,418,Catalan
catalan-09-316-547006,123,Catalan
catalan-09-326-564318,99,Catalan
catalan-09-330-571675,449,Catalan
catalan-09-341-591126,268,Catalan
catalan-09-356-613278,208,Catalan
catalan-09-369-638446,2359,Catalan
catalan-09-372-641894,4,Catalan
catalan-09-380-655509,507,Catalan
catalan-09-393-670813,-234,Catalan
catalan-09-404-689030,-52,Catalan
catalan-09-425-734662,108,Catalan
catalan-09-434-746670,-61,Catalan
catalan-10-036-84539,300,Catalan
catalan-10-044-116662,201.99999999998545,Catalan
catalan-10-058-153078,1148,Catalan
